category,business_count,avg_rating,avg_reviews,opportunity_score
thai,1,4.7,3856.0000000000000000,18123.2
dim sum,1,4.7,3856.0000000000000000,18123.2
vegan,1,4.5,3056.0000000000000000,13752
vegetarian,1,4.5,3056.0000000000000000,13752
cafes,1,4.5,3056.0000000000000000,13752
beer gardens,1,4.1,2913.0000000000000000,11943.3
smokehouse,1,4.3,2497.0000000000000000,10737.1
chicken wings,1,4.1,2115.0000000000000000,8671.5
juice bars & smoothies,1,4,2039.0000000000000000,8156
music venues,1,3.8,2088.0000000000000000,7934.4
delis,1,4.5,1509.0000000000000000,6790.5
bakeries,1,4.2,1590.0000000000000000,6678
coffee & tea,1,4.5,1373.0000000000000000,6178.5
tex-mex,1,3.9,1565.0000000000000000,6103.5
lounges,1,4,1473.0000000000000000,5892
soup,1,4.4,1276.0000000000000000,5614.400000000001
food stands,1,4.5,1205.0000000000000000,5422.5
cantonese,1,4.2,1269.0000000000000000,5329.8
barbeque,1,4.5,1162.0000000000000000,5229
gluten-free,2,4.45,2163.5000000000000000,4813.7875
diners,2,4.55,1846.0000000000000000,4199.65
izakaya,1,4,1049.0000000000000000,4196
smokehouse,1,4,1049.0000000000000000,4196
diners,1,4.6,895.0000000000000000,4117
wine & spirits,2,4.15,1959.0000000000000000,4064.925
beer,2,4.15,1959.0000000000000000,4064.925
chicken shop,2,4.199999999999999,1908.5000000000000000,4007.8499999999995
tapas/small plates,1,4,987.0000000000000000,3948
cafes,1,4.3,879.0000000000000000,3779.7
japanese curry,1,4.1,848.0000000000000000,3476.7999999999997
vegetarian,1,4.5,771.0000000000000000,3469.5
butcher,1,4.3,784.0000000000000000,3371.2
asian fusion,2,4.300000000000001,1535.0000000000000000,3300.2500000000005
whiskey bars,1,3.9,773.0000000000000000,3014.7
halal,1,4.2,712.0000000000000000,2990.4
coffee roasteries,1,4.5,662.0000000000000000,2979
breweries,1,4.5,662.0000000000000000,2979
vietnamese,3,4.533333333333333,1869.0000000000000000,2824.2666666666664
brewpubs,2,4.35,1255.0000000000000000,2729.625
turkish,1,4.4,596.0000000000000000,2622.4
sports bars,2,4.1,1254.5000000000000000,2571.725
pubs,1,3.9,620.0000000000000000,2418
ramen,2,4.15,1138.5000000000000000,2362.3875000000003
beer bar,2,4.35,1075.0000000000000000,2338.125
tiki bars,1,4.2,541.0000000000000000,2272.2000000000003
polynesian,1,4.2,541.0000000000000000,2272.2000000000003
australian,1,4.2,538.0000000000000000,2259.6
food trucks,2,4.6,922.0000000000000000,2120.6
cajun/creole,2,4.55,917.0000000000000000,2086.1749999999997
french,2,3.95,1046.5000000000000000,2066.8375
halal,1,4.3,476.0000000000000000,2046.8
ice cream & frozen yogurt,1,4.4,433.0000000000000000,1905.2
southern,5,4.18,2263.0000000000000000,1891.868
hot pot,1,4.5,392.0000000000000000,1764
korean,1,4.6,382.0000000000000000,1757.1999999999998
barbeque,8,4.1875,3337.0000000000000000,1746.7109375
food trucks,1,4.8,361.0000000000000000,1732.8
peruvian,1,4.8,361.0000000000000000,1732.8
chicken wings,2,4.3,804.5000000000000000,1729.675
burgers,5,4.28,2003.6000000000000000,1715.0816
gastropubs,4,4.050000000000001,1685.2500000000000000,1706.3156250000004
comfort food,4,4.25,1604.5000000000000000,1704.78125
latin american,1,4.6,336.0000000000000000,1545.6
venues & event spaces,2,4.35,707.5000000000000000,1538.8124999999998
dim sum,3,4.166666666666667,1097.3333333333333333,1524.0740740740741
venues & event spaces,1,3.9,385.0000000000000000,1501.5
greek,2,4.25,702.5000000000000000,1492.8125
