city,category,business_count
Austin,cocktail bars,41
Austin,breakfast & brunch,24
Austin,new american,23
Austin,wine bars,21
Austin,seafood,21
Austin,american,14
Austin,bars,14
Austin,italian,14
Austin,new american,13
Austin,mexican,13
Austin,american,12
Austin,sandwiches,11
Austin,seafood,10
Austin,pizza,9
Austin,japanese,9
Austin,sushi bars,8
Austin,barbeque,8
Austin,japanese,8
Austin,steakhouses,8
Austin,sushi bars,7
Austin,steakhouses,7
Austin,cocktail bars,6
Austin,southern,6
Austin,noodles,6
Austin,desserts,6
Austin,ramen,5
Austin,breakfast & brunch,5
Austin,southern,5
Austin,burgers,5
Austin,italian,5
Austin,comfort food,4
Austin,salad,4
Austin,thai,4
Austin,lounges,4
Austin,asian fusion,4
Austin,gastropubs,4
Austin,dim sum,3
Austin,pizza,3
Austin,tacos,3
Austin,tapas/small plates,3
Austin,vietnamese,3
Austin,mediterranean,3
Austin,middle eastern,2
Austin,ramen,2
Austin,chinese,2
Austin,diners,2
Austin,sports bars,2
Austin,french,2
Austin,brewpubs,2
Austin,beer bar,2
Austin,asian fusion,2
Austin,greek,2
Austin,mediterranean,2
Austin,chicken shop,2
Austin,gluten-free,2
Austin,greek,2
Austin,coffee & tea,2
Austin,venues & event spaces,2
Austin,caribbean,2
Austin,beer,2
Austin,bars,2
Austin,wine bars,2
Austin,chicken wings,2
Austin,chinese,2
Austin,korean,2
Austin,wine & spirits,2
Austin,cajun/creole,2
Austin,food trucks,2
Austin,korean,1
Austin,food stands,1
Austin,vietnamese,1
Austin,halal,1
Austin,coffee & tea,1
Austin,soup,1
Austin,latin american,1
Austin,delis,1
Austin,venues & event spaces,1
Austin,beer gardens,1
Austin,cafes,1
Austin,coffee roasteries,1
Austin,barbeque,1
Austin,diners,1
Austin,tiki bars,1
Austin,vegetarian,1
Austin,juice bars & smoothies,1
Austin,peruvian,1
Austin,whiskey bars,1
Austin,polynesian,1
Austin,vegetarian,1
Austin,modern european,1
Austin,vegan,1
Austin,hot pot,1
Austin,izakaya,1
Austin,smokehouse,1
Austin,japanese curry,1
Austin,tapas/small plates,1
Austin,halal,1
Austin,tex-mex,1
Austin,thai,1
Austin,food trucks,1
Austin,breweries,1
Austin,mexican,1
Austin,vegan,1
Austin,australian,1
Austin,bakeries,1
Austin,spanish,1
Austin,french,1
Austin,lounges,1
Austin,music venues,1
Austin,cantonese,1
Austin,dim sum,1
Austin,pubs,1
Austin,smokehouse,1
Austin,ice cream & frozen yogurt,1
Austin,butcher,1
Austin,chicken wings,1
Austin,cafes,1
Austin,turkish,1
