business_id,name,rating,price_level,market_value
DSQCRlBZ_oy4kyTzqDfb9w,Dean's Italian Steakhouse,4.4,,
IqNExVdP8Mr8GQa8OgozcA,Honey Moon Spirit Lounge,4.4,,
7LF9LnQ0LPsMAzVRPhFzMw,Gina's on Congress,4.4,,
pSOf1v4Wcnxe09ErQmOtJw,Ember Kitchen,4.6,,
feNjLEC9gZ5QdPlQ05SDwQ,Hestia,4.3,,
gaDwde0ErnE4OJVLAuAUpw,Nido,4.2,,
kCdONcIH6Fz5Gz3TmBWdTw,Garrison,4.6,,
190HyYQqSvzNccWArwFklg,Yamas Greek Kitchen + Bar,3.8,,
aTvusfYoXUQ6Nem2-Vp4Zw,Ezov,4.4,,
i_2XxgXPFjVxkXRnHjtu-A,Fig Italian Kitchen & Bar,4.3,,
r7m-V0drTnK9o2Mg1FcxAQ,Gràcia Mediterranean,4.6,,
O39mniGKRun7UrA1PEkUxg,Murray's Tavern,4.4,,
yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase,4.4,,
Z3Y4h9RmBB0jCHJC0CMXbg,Quince Lakehouse,4.4,,
T5UAsZOwDB6jc1X1AuiSaQ,VERDAD True Modern Mexican,4.2,,
Arkwh6sIktiIjimtIiONXg,Lutie’s,4.2,,
2YSJoXu7pUe_BT5XqbPz4Q,Nomade,4.4,,
4T4iO_t5iz6SbHrphY2fGA,CARVE American Grille - Central Austin,4.1,,
5fI9ZzqzRLnMNYoTMjUGGQ,Granny's Tacos,4.7,1,2.35
iiHcYdhd1CeDJjFZVCtKgg,Buddy's Burger,4.3,1,2.15
KQds0wAC6UBUxCBpRqVDHg,Apt 115,4.8,2,1.5999999999999999
kqeblz37dvpiwy7-l9VfXA,Ceviche7,4.8,2,1.5999999999999999
ooRIabaNiaKtpEeEsIpTkw,Postino Bryker Woods,4.7,2,1.5666666666666667
Rba9Ol4jnTiov6_iAuoF5g,1618 Asian Fusion,4.7,2,1.5666666666666667
PrWSjn4a8o4dHoqKs53GBA,Bird Bird Biscuit,4.7,2,1.5666666666666667
GZfHsTQAabxdXB_z30h6kw,DeSano Pizzeria Napoletana,4.7,2,1.5666666666666667
lIXsFNSHZmhfD0dlbV4lSg,Santorini Cafe,4.7,2,1.5666666666666667
wB1qckz9iC0aq5XuWRmCIA,Jewboy Burgers,4.6,2,1.5333333333333332
Unl62KlI0kwF8pToy7QjSA,Vic & Al's,4.6,2,1.5333333333333332
aTuONbEHUx5BjyajRXWxcg,An Nyeong K Tofu & Bbq,4.6,2,1.5333333333333332
INUWOG0fuuYwinCEA2BrHQ,Phoebe's Diner,4.6,2,1.5333333333333332
TxJxKvTD_vjpUAwW54h1EQ,Hi Wings,4.6,2,1.5333333333333332
Wn8j-1-ity6hdjP4bC_wkw,Sip Pho,4.5,2,1.5
KEh3efWSOIzd8BvuW-X4-g,Phoebe's Diner,4.5,2,1.5
_dX5kPHrplgQOpk1hBE7mg,Simar Seafood  Cocina,4.5,2,1.5
ODKhTnArDrUsuqIlKNd2_g,Bikkle Jamaican Restaurant,4.5,2,1.5
YZs1gNSh_sN8JmN_nrpxeA,Terry Black's Barbecue,4.5,2,1.5
C9QXRfi43sYP5lXkNGrM7A,Lazarus Brewing,4.5,2,1.5
8sEbM_ACHUbBsZ-TRZFXWA,Home Slice Pizza,4.5,2,1.5
8RPIjybMh5Eg90eVsv3fRQ,Via 313 Pizza,4.5,2,1.5
MGzro82Fi4LYvc86acoONQ,Franklin Barbecue,4.5,2,1.5
pKXtSuabMA63tYCk1UMR-g,Turf N Surf Po' Boy,4.5,2,1.5
J0oTYJx-dGn5yk926s6eGw,DeSano Pizzeria Napoletana,4.5,2,1.5
U9p0G4OOUWP425Ww8FHaGQ,Little Deli & Pizzeria,4.5,2,1.5
jmmzYxurOoA_K_RtanzQow,Paperboy East,4.5,2,1.5
XzMq2IRnVCloPe55VhFJMw,Sixty Vines,4.5,2,1.5
qkpTiGcJbkNKgmCj4rmkkQ,Bouldin Creek Cafe,4.5,2,1.5
4JNsfaP4ILEuzidhbPgvRQ,Patrizi's,4.5,2,1.5
JfSFcZjRfUKpjSq9s42jYA,Velvet Taco,4.5,2,1.5
gKREdIgb5vB844iOtbzqBA,Pinthouse Pizza,4.5,2,1.5
sjgbSELDpzaabRe8bZwUbw,Micklethwait Craft Meats,4.5,2,1.5
wQ8XK2NJAL2csx_LmZfz4g,Eldorado Cafe,4.5,2,1.5
fTpp8kuKOITj1KSEz9UG2Q,Qi Austin,4.4,2,1.4666666666666668
NplrGF_5kZx5K67CgxqaKg,Marufuku Ramen,4.4,2,1.4666666666666668
G6_o1h3cm7ocJK-To1HWew,Pho Please,4.4,2,1.4666666666666668
FVANupKYOw0gcAF7J6bebQ,House of Three Gorges,4.4,2,1.4666666666666668
mKX28z-6g-XoChGATQ6F9Q,Khon Thai Kitchen By Seeda,4.4,2,1.4666666666666668
D0a-5tvB43JItaD0cvImhA,MezzeMe,4.4,2,1.4666666666666668
bQbO4RPTcS50EzoLx2Y2QQ,Sugar Pine,4.4,2,1.4666666666666668
5ufHVEdJNPypB4v_UhUUUQ,Patrizi's,4.4,2,1.4666666666666668
tSUDZZ95ky1xiPXBGG6s1g,Uchibā Austin,4.4,2,1.4666666666666668
FbZLY5XASP9phByStRTSaw,Doc B's Restaurant + Bar,4.4,2,1.4666666666666668
1Eq16r_MSnvPsnIykBdy9w,Home Slice Pizza,4.4,2,1.4666666666666668
nXtn29mTWlYeHxvHSz4dfA,Koriente,4.4,2,1.4666666666666668
P2fi7qugfLPOFSxscpaAxg,Anthem,4.4,2,1.4666666666666668
cs6HfZNykLVitm09jWFqWg,Moonshine Grill,4.4,2,1.4666666666666668
LoSheJfJ57sNedZj0GWO5A,Bar Peached,4.3,2,1.4333333333333333
Gzi27rYJ2RegyRY_KqtloA,Bamboo House Austin,4.3,2,1.4333333333333333
KYLDv6fOFhFMNvn-KGNrDg,Kismet Cafe,4.3,2,1.4333333333333333
tG7C9aZpYmj0-Z8hZC-0cg,SLAB BBQ & Beer,4.3,2,1.4333333333333333
w4W4RMx3BkDWQ9IagXAGSg,Lefty's Brick Bar,4.3,2,1.4333333333333333
UiiIGT4lbFQhuFIiI1P7DA,True Food Kitchen,4.3,2,1.4333333333333333
Qr6F7HEGMq8U-TmWrqDxtA,El Raval,4.3,2,1.4333333333333333
SzMqKnNn32pbsdrsBkQhfQ,Veracruz Fonda & Bar,4.3,2,1.4333333333333333
M6_Jp6Xcf2z-j_Ay_GiHtA,Jack Allen's Kitchen Anderson Lane,4.3,2,1.4333333333333333
ZNwznJunPKKLyc-YSAbCcw,Mandala Kitchen & Bar,4.3,2,1.4333333333333333
He2KYtXXfaIR0nkCXH5xiQ,Loro Asian Smokehouse & Bar,4.3,2,1.4333333333333333
v1UzkU8lEWdjxq8byWFOKg,Gus's World Famous Fried Chicken - Austin,4.3,2,1.4333333333333333
-jxEILUSqsWL0Oo7cQDfVg,Sazan Ramen,4.3,2,1.4333333333333333
