search_location,search_category,business_id,name,city,state,postal_code,address,latitude,longitude,rating,review_count,price,phone,display_phone,categories_alias,categories_title,hours,photos,biz_url,is_closed
"Austin, TX",restaurants,cs6HfZNykLVitm09jWFqWg,Moonshine Grill,Austin,TX,78701,"303 Red River St, Austin, TX 78701",30.26375388334444,-97.738076861816,4.4,6314,$$,+15122369599,(512) 236-9599,"southern, breakfast_brunch, cocktailbars","Southern, Breakfast & Brunch, Cocktail Bars",0:1100-2200;1:1100-2200;2:1100-2200;3:1100-2200;4:1100-2200;5:1000-2200;6:0900-1400;6:1600-2100,,https://www.yelp.com/biz/moonshine-grill-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,He2KYtXXfaIR0nkCXH5xiQ,Loro Asian Smokehouse & Bar,Austin,TX,78704,"2115 S Lamar Blvd, Austin, TX 78704",30.24773956571551,-97.77135488952511,4.3,2497,$$,+15129164858,(512) 916-4858,"smokehouse, asianfusion, cocktailbars","Smokehouse, Asian Fusion, Cocktail Bars",0:1100-2200;1:1100-2200;2:1100-2200;3:1100-2200;4:1100-2300;5:1100-2300;6:1100-2200,,https://www.yelp.com/biz/loro-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,Rba9Ol4jnTiov6_iAuoF5g,1618 Asian Fusion,Austin,TX,78741,"1618 E Riverside Dr, Austin, TX 78741",30.245474,-97.730411,4.7,3856,$$,+15124629999,(512) 462-9999,"vietnamese, thai, dimsum","Vietnamese, Thai, Dim Sum",0:1000-2130;1:1000-2130;2:1000-2130;3:1000-2130;4:1000-2230;5:1000-2230;6:1000-2130,,https://www.yelp.com/biz/1618-asian-fusion-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,BHZ9puL8YuHE-YEdkmxH-g,Canje,Austin,TX,78702,"1914 E 6th St, Ste C, Austin, TX 78702",30.26177,-97.72232,4.5,574,$$$,+15127069119,(512) 706-9119,caribbean,Caribbean,0:1700-2200;1:1700-2200;2:1700-2200;3:1700-2200;4:1700-2300;5:1700-2300;6:1700-2200,,https://www.yelp.com/biz/canje-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,YZs1gNSh_sN8JmN_nrpxeA,Terry Black's Barbecue,Austin,TX,78704,"1003 Barton Springs Rd, Austin, TX 78704",30.2596915716907,-97.7548013627529,4.5,8396,$$,+15123945899,(512) 394-5899,"bbq, sandwiches, southern","Barbeque, Sandwiches, Southern",0:1030-2130;1:1030-2130;2:1030-2130;3:1030-2130;4:1030-2200;5:1030-2200;6:1030-2130,,https://www.yelp.com/biz/terry-blacks-barbecue-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,KIHoGUfCOLhBFQVSAN4QSg,Suerte,Austin,TX,78702,"1800 E 6th St, Austin, TX 78702",30.26228,-97.72331,4.3,1281,$$$,+15125223031,(512) 522-3031,"mexican, breakfast_brunch","Mexican, Breakfast & Brunch",0:1700-2200;1:1700-2200;2:1700-2200;3:1700-2200;4:1700-2300;5:1100-2300;6:1100-2200,,https://www.yelp.com/biz/suerte-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,fTpp8kuKOITj1KSEz9UG2Q,Qi Austin,Austin,TX,78703,"835 West 6th St, Unit 114, Austin, TX 78703",30.27058605281438,-97.75251467522534,4.4,850,$$,+15124742777,(512) 474-2777,dimsum,Dim Sum,0:1100-1400;0:1630-2200;1:1100-1400;1:1630-2200;2:1100-1400;2:1630-2200;3:1100-1400;3:1630-2200;4:1100-1400;4:1630-2300;5:1030-1500;5:1630-2300;6:1030-1500;6:1630-2200,,https://www.yelp.com/biz/qi-austin-austin-2?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,AcFt364BrHyMu3VrSCKMOw,Salty Sow,Austin,TX,78722,"1917 Manor Rd, Austin, TX 78722",30.2836497259461,-97.7213180065155,4.3,3394,$$$,+15123912337,(512) 391-2337,"tradamerican, gastropubs","American, Gastropubs",0:1630-2100;1:1630-2130;2:1630-2130;3:1630-2130;4:1630-2200;5:1630-2200;6:1630-2100,,https://www.yelp.com/biz/salty-sow-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,uPWJtYJi76EniU0xrX-zbA,Odd Duck,Austin,TX,78704,"1201 S Lamar Blvd, Austin, TX 78704",30.25452,-97.762064,4.4,2397,$$$,+15124336521,(512) 433-6521,"tradamerican, bars","American, Bars",0:1630-2100;1:1630-2100;2:1630-2100;3:1630-2130;4:1630-2130;5:1630-2130;6:1630-2100,,https://www.yelp.com/biz/odd-duck-austin-2?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
"Austin, TX",restaurants,XOo0oa5sXCZGjKXapIN95w,Red Ash,Austin,TX,78701,"303 Colorado St, Austin, TX 78701",30.26588,-97.744672,4.4,1498,$$$$,+15123792906,(512) 379-2906,"italian, seafood, tapasmallplates","Italian, Seafood, Tapas/Small Plates",0:1700-2200;1:1700-2200;2:1700-2200;3:1700-2200;4:1700-2200;5:1700-2200;6:1700-2200,,https://www.yelp.com/biz/red-ash-austin?adjust_creative=9uaxCzPguRm-BE9hD_3tOA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=9uaxCzPguRm-BE9hD_3tOA,False
